"HolderAddress","Balance","PendingBalanceUpdate"
"0x5d07b4f9ca73589d84e70a8191ed7fc948f169c0","1.25E+20","No"
"0x5d8486c448df93c4c188489e24a787dc51c8bd5e","2.253854E+21","No"
"0x5dab03769d24845b2ad109587fac6cb8e8240752","2.36492E+21","No"
"0x5e060fc5cc38f9f47b94b1226a312baf18b321a4","1.288E+21","No"
"0x5ea05d909a3022fed7dbe03c89b1ce407b07b43e","2.08353E+21","No"
"0x5ec53a1a86ee1415ba086c609809a70a585117cf","1.2629E+21","No"
"0x5fa6c6ddef66f98fec0175df788792ebd9e20f09","8.05946E+21","No"
"0x60f52a592d6832b291f887c5cdec17a8d876727e","4.3892E+20","No"
"0x6277db4370fd553fc1ce9bd4b569d2ad6e506bd0","3.27216E+21","No"
"0x6322e80ea0e481db7741bf21259edd678250164a","4.17237E+21","No"
"0x63c208546a73eec5d2a4047048afcc010c2dc825","7.22145E+21","No"
"0x650abe51bb0e431d2c4282c3c150369dc9b1e097","2.839037E+21","No"
"0x663a8d3a6db23efd7ab398e42ff2facd9601ca5e","8.821619E+22","No"
"0x66901af838a6140b8440924e6ba22919faf19e63","1.0333E+22","No"
"0x6a25be3b86f3b3063b0bfd5050a5c34dd8205fef","1.710388E+22","No"
"0x6c14c1dd1ab0cd6d18160ed02a59b91db99408eb","3.2385829027E+23","No"
"0x6f31c11c42e19ab3ca7e68278e2edab83e68c37f","3.8322E+21","No"
"0x6fc0c5187c637a72abb890da435875b3a10e5522","2.32394E+21","No"
"0x6fd087fec73e86ebd89015472a140226abb676c3","6.605567801E+22","No"
"0x7024dbd744ce1ef74a9b97b97f25b940b1f5f051","7.43130847E+22","No"
"0x709a11e462be728ad539b9dbfffef72756afe3cd","2.09502E+21","No"
"0x71e1a74da1998dcaeccbabaa0ffc76a66d51458c","3.96491E+21","No"
"0x726c09e28032f9723361d4dffa9e0beda2ffd6be","2E+22","No"
"0x72abb228104962e715a40c5785cda50a06ad298c","1.91429E+21","No"
